"","submit_name","genus","species","scientificname","uri","bety_id","in_PFT"
"209","Macaranga denticulata","Macaranga","denticulata","Macaranga denticulata","http://www.tropicos.org/Name/12800072",1000020934,TRUE
"210","Millettia leptobotrya","Millettia","leptobotrya","Millettia leptobotrya","http://www.tropicos.org/Name/13060147",1000020935,TRUE
"211","Oreopanax nubigenus","Oreopanax","nubigenus","Oreopanax nubigenus","http://www.tropicos.org/Name/2200778",1000020936,TRUE
"212","Protium","Protium",NA,"Protium","http://www.tropicos.org/Name/40016610",1000020937,TRUE
"213","Quercus oleoides","Quercus","oleoides","Quercus oleoides","http://www.tropicos.org/Name/13100316",1000020938,TRUE
"214","Rehdera trinervis","Rehdera","trinervis","Rehdera trinervis","http://www.tropicos.org/Name/33702467",1000020939,TRUE
"215","Ruprechtia fusca","Ruprechtia","fusca","Ruprechtia fusca","http://www.tropicos.org/Name/50148878",1000020940,TRUE
"216","Schefflera pittieri","Schefflera","pittieri","Schefflera pittieri","http://www.tropicos.org/Name/2200765",1000020941,TRUE
"217","Streblus asper","Streblus","asper","Streblus asper","http://www.tropicos.org/Name/50064863",1000020942,TRUE
"218","Syzygium szemaoense","Syzygium","szemaoense","Syzygium szemaoense","http://www.tropicos.org/Name/22107541",1000020943,TRUE
"219","Trichilia dregeana","Trichilia","dregeana","Trichilia dregeana","http://www.tropicos.org/Name/20400492",1000020944,TRUE
"220","Turpinia pomifera","Turpinia","pomifera","Turpinia pomifera","http://www.tropicos.org/Name/50092419",1000020945,TRUE
"221","Zygogynum pancheri","Zygogynum","pancheri","Zygogynum pancheri","http://www.tropicos.org/Name/50197622",1000020946,TRUE
