"","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case"
"55","gliricidia sepium",605,TRUE,"Gliricidia sepium",605,TRUE,"iPlant_TNRS","1","(Jacq.) Kunth ex Walp.","http://www.tropicos.org/Name/13048407",1
"56","guapira noxia",1000005697,TRUE,"Guapira noxia",1000005697,TRUE,"iPlant_TNRS","1","(Netto) Lundell","http://www.tropicos.org/Name/22500694",1
"57","guarea guidonia",622,TRUE,"Guarea guidonia",622,TRUE,"iPlant_TNRS","1","(L.) Sleumer","http://www.tropicos.org/Name/20400341",1
"58","guatteria dumetorum",1000005776,TRUE,"Guatteria dumetorum",1000005776,TRUE,"iPlant_TNRS","1","R.E. Fr.","http://www.tropicos.org/Name/1600214",1
"59","guazuma ulmifolia",5630,TRUE,"Guazuma ulmifolia",5630,TRUE,"iPlant_TNRS","1","Lam.","http://www.tropicos.org/Name/30400486",1
"60","gustavia superba",1000005920,TRUE,"Gustavia superba",1000005920,TRUE,"iPlant_TNRS","1","(Kunth) O. Berg","http://www.tropicos.org/Name/17900010",1
"61","hedyosmum goudotianum",1000006069,TRUE,"Hedyosmum goudotianum",1000006069,TRUE,"iPlant_TNRS","1","Solms","http://www.tropicos.org/Name/7300013",1
"62","hedyosmum mexicanum",1000006073,TRUE,"Hedyosmum mexicanum",1000006073,TRUE,"iPlant_TNRS","1","C. Cordem.","http://www.tropicos.org/Name/7300015",1
"63","hevea brasiliensis",19340,TRUE,"Hevea brasiliensis",19340,TRUE,"iPlant_TNRS","1","(Willd. ex A. Juss.) Müll. Arg.","http://www.tropicos.org/Name/12801400",1
"64","holocalyx balansae",1000020867,TRUE,"Holocalyx balansae",1000020867,TRUE,"iPlant_TNRS","1","Micheli","http://www.tropicos.org/Name/13020477",1
"65","humiriastrum diguense",1000006376,TRUE,"Humiriastrum diguense",1000006376,TRUE,"iPlant_TNRS","1","(Cuatrec.) Cuatrec.","http://www.tropicos.org/Name/15800034",1
"66","hymenaea courbaril",27020,TRUE,"Hymenaea courbaril",27020,TRUE,"iPlant_TNRS","1","L.","http://www.tropicos.org/Name/13005950",1
"67","hymenaea martiana",1000020868,TRUE,"Hymenaea martiana",1000020868,TRUE,"iPlant_TNRS","1","Hayne","http://www.tropicos.org/Name/13020516",1
