Species,ksat,kl,P50,ax,Lat,Long,Ref,SLA,WD
luehea seemannii,NaN,0.0020736,NaN,NaN,9.166666667,-79.85,Santiago et al. 2004,9.66050879,0.33
manilkara bidentata,NaN,0.000567,NaN,NaN,9.15,-79.85,Santiago et al. 2004,NaN,0.61
marila laxiflora,NaN,0.0005382,NaN,NaN,9.15,-79.85,Santiago et al. 2004,NaN,0.48
miconia minutiflora,NaN,0.001458,NaN,NaN,9.15,-79.85,Santiago et al. 2004,NaN,0.5
nectandra purpurascens,NaN,0.0010602,NaN,NaN,9.15,-79.85,Santiago et al. 2004,NaN,0.55
ocotea insularis,NaN,0.0008244,NaN,NaN,9.15,-79.85,Santiago et al. 2004,NaN,0.58
poulsenia armata,NaN,0.000711,NaN,NaN,9.15,-79.85,Santiago et al. 2004,8.511380382,0.43
pourouma bicolor,NaN,0.0008982,NaN,NaN,9.15,-79.85,Santiago et al. 2004,NaN,0.45
simarouba amara,NaN,0.0018432,NaN,NaN,9.15,-79.85,Santiago et al. 2004,NaN,0.41
tapirira guianensis,NaN,0.001116,NaN,NaN,9.15,-79.85,Santiago et al. 2004,NaN,0.43
trattinnickia aspera,NaN,0.000774,NaN,NaN,9.15,-79.85,Santiago et al. 2004,NaN,0.57
virola sebifera,NaN,0.0010944,NaN,NaN,9.15,-79.85,Santiago et al. 2004,NaN,0.5
vochysia ferruginea,NaN,0.0016506,NaN,NaN,9.15,-79.85,Santiago et al. 2004,NaN,0.35
aspidosperma tomentosum,1.56,0.000398,NaN,NaN,-15.93333333,-47.88333333,Scholz et al. 2008,6.002,0.6
aspidosperma tomentosum,4.02,0.000915,NaN,NaN,-15.93333333,-47.88333333,Scholz et al. 2008,7.45,0.545
aspidosperma tomentosum,3.55,0.000909,NaN,NaN,-15.93333333,-47.88333333,Scholz et al. 2008,7.86,0.497
eriotheca pubescens,2.67,0.000521,NaN,NaN,-15.93333333,-47.88333333,Scholz et al. 2008,6.002,0.6
eriotheca pubescens,4.33,0.000932,NaN,NaN,-15.93333333,-47.88333333,Scholz et al. 2008,7.452,0.54
eriotheca pubescens,4.21,0.001408,NaN,NaN,-15.93333333,-47.88333333,Scholz et al. 2008,7.865,0.497
guapira areolata,8.1,NaN,NaN,NaN,-15.93333333,-47.88333333,Scholz et al. 2008,10.123,0.46
guapira noxia,2.56,0.000845,NaN,NaN,-15.93333333,-47.88333333,Scholz et al. 2008,7.467,0.498
guapira noxia,3.7,0.00111,NaN,NaN,-15.93333333,-47.88333333,Scholz et al. 2008,8.108,0.496
guapira noxia,4.8,0.0012,NaN,NaN,-15.93333333,-47.88333333,Scholz et al. 2008,8.105,0.497
guarea guidonia,7.7,0.0029,NaN,NaN,-15.93333333,-47.88333333,Scholz et al. 2008,10.016,0.467
protium,7.4,0.0032,NaN,NaN,-15.93333333,-47.88333333,Scholz et al. 2008,9.92,0.44
qualea grandiflora,0.99,0.000523,NaN,NaN,-15.93333333,-47.88333333,Scholz et al. 2008,5.747,0.606
qualea grandiflora,2.22,0.000901,NaN,NaN,-15.93333333,-47.88333333,Scholz et al. 2008,7.2,0.52
qualea grandiflora,2.05,0.000754,NaN,NaN,-15.93333333,-47.88333333,Scholz et al. 2008,6.15,0.57
curatella americana,NaN,0.000925,-1.48,55.07246377,9.916666667,-66.91666667,Sobrado 1996,NaN,0.39
bourreria cumanensis,0.41,9.95E-05,-3.82,NaN,10.25,-67.05,Sobrado 1997,NaN,NaN
capparis aristiguetae,0.105,1.58E-05,-2.45,10.55555556,10.25,-67.05,Sobrado 1997,6.918309709,NaN
coursetia arborea,1.26,9.19E-05,-2.42,10.46831956,10.25,-67.05,Sobrado 1997,26.91534804,NaN
lonchocarpus dipteroneurus,0.98,9.63E-05,-1.77,11.37724551,10.25,-67.05,Sobrado 1997,23.98832919,NaN
morisonia americana,0.14,3.47E-05,-2.39,10.0795756,10.25,-67.05,Sobrado 1997,6.760829754,0.88
pithecellobium dulce,0.54,7.06E-05,-1.65,8.71559633,10.25,-67.05,Sobrado 1997,15.13561248,0.6835
rhizophora mangle,NaN,NaN,-6.3,NaN,25.549,-80.3227,Sperry et al. 1988,NaN,0.897714286
cassipourea guianensis,1.3,NaN,-4.8,NaN,9.166666667,-79.846036,Sperry et al. 1988,NaN,0.82
canella winterana,NaN,NaN,-0.23,NaN,25.6773,-80.2724,Sperry et al. 2007,NaN,0.95
galbulimima baccata,NaN,NaN,-1.3,16.53611836,-16.81972222,145.6453611,Sperry et al. 2007,NaN,0.5005
hedyosmum goudotianum,NaN,NaN,-1.741,55.47445255,10.31897222,-84.79363889,Sperry et al. 2007,NaN,NaN
hedyosmum mexicanum,NaN,NaN,-0.789,NaN,10.02511111,-84.12533333,Sperry et al. 2007,NaN,NaN
idiospermum australiense,NaN,NaN,-0.615,19.48717949,-16.89933611,145.750725,Sperry et al. 2007,NaN,0.65
illicium floridanum,NaN,NaN,-3.28,NaN,29.9546,-90.0751,Sperry et al. 2007,NaN,NaN
trimenia neocaledonica,NaN,NaN,-1.253,15.66364386,-21.18247222,165.2923889,Sperry et al. 2007,NaN,NaN
cassipourea guianensis,NaN,NaN,-4.68,19.79166667,9.166666667,-79.846036,Tyree & Sperry 1989,NaN,0.82
schefflera morototoni,NaN,NaN,-1.38,82.60869565,9.166666667,-79.846036,Tyree et al. 1991,NaN,0.4559375
agathis borneensis,NaN,NaN,-1.91,NaN,4.5594,114.4213,Tyree et al. 1998,NaN,0.383333333
aglaia glabrata,NaN,NaN,-0.71,NaN,4.5594,114.4213,Tyree et al. 1998,NaN,NaN
amyxa pluricornis,NaN,NaN,-0.63,43.67816092,4.66,114.52,Tyree et al. 1998,NaN,0.63
canarium caudatum,NaN,NaN,-1.47,NaN,4.5594,114.4213,Tyree et al. 1998,NaN,0.33
cotylelobium burckii,NaN,NaN,-0.45,NaN,4.5594,114.4213,Tyree et al. 1998,NaN,0.815
diospyros brachiata,NaN,NaN,-0.42,74.50980392,4.66,114.52,Tyree et al. 1998,NaN,0.54
diospyros hermaphroditica,NaN,NaN,-0.6,NaN,4.5594,114.4213,Tyree et al. 1998,NaN,0.595
diospyros mindanaensis,NaN,NaN,-0.79,105.5555556,4.66,114.52,Tyree et al. 1998,NaN,0.65
dipterocarpus globosus,NaN,NaN,-0.18,223.5294118,4.66,114.52,Tyree et al. 1998,NaN,0.7
dryobalanops aromatica,NaN,NaN,-0.26,NaN,4.66,114.52,Tyree et al. 1998,NaN,0.68
dryobalanops sumatrensis,NaN,NaN,-0.26,200,4.66,114.52,Tyree et al. 1998,NaN,0.65
eugenia ampullaria,NaN,NaN,-0.6,NaN,4.5594,114.4213,Tyree et al. 1998,NaN,NaN
eugenia bankensis,NaN,NaN,-1.26,NaN,4.5594,114.4213,Tyree et al. 1998,NaN,NaN
eugenia muelleri,NaN,NaN,-0.54,NaN,4.5594,114.4213,Tyree et al. 1998,NaN,0.87
heritiera sumatrana,NaN,NaN,-1.69,43.67816092,4.66,114.52,Tyree et al. 1998,NaN,0.53
homalium moultonii,NaN,NaN,-6.3,NaN,4.5594,114.4213,Tyree et al. 1998,NaN,NaN
isonandra lanceolata,NaN,NaN,-0.48,NaN,4.5594,114.4213,Tyree et al. 1998,NaN,0.93
