"","lat","lon","Climate_Koeppen_Geiger_classification","Climate_PFT_Biome_equivalent_Poulter","SRA","doi","species","species_id"
"38",6.083333333,116.55,"Af","tropical",466.7,"10.1111/1365-2435.12424","Syzygium castaneum",1000021029
"39",6.083333333,116.55,"Af","tropical",422.3,"10.1111/1365-2435.12424","Syzygium castaneum",1000021029
"40",6.083333333,116.55,"Af","tropical",349,"10.1111/1365-2435.12424","Syzygium castaneum",1000021029
"41",6.083333333,116.55,"Af","tropical",192.6,"10.1111/1365-2435.12424","Lithocarpus rigidus",1000021021
"42",6.083333333,116.55,"Af","tropical",339.5,"10.1111/1365-2435.12424","Lithocarpus rigidus",1000021021
"43",6.083333333,116.55,"Af","tropical",243.4,"10.1111/1365-2435.12424","Lithocarpus rigidus",1000021021
"44",6.083333333,116.55,"Af","tropical",142.8,"10.1111/1365-2435.12424","Lithocarpus rigidus",1000021021
"45",6.083333333,116.55,"Af","tropical",306.2,"10.1111/1365-2435.12424","Dacrycarpus imbricatus",1000021015
"46",6.083333333,116.55,"Af","tropical",320.6,"10.1111/1365-2435.12424","Dacrycarpus imbricatus",1000021015
"47",6.083333333,116.55,"Af","tropical",309.4,"10.1111/1365-2435.12424","Dacrycarpus imbricatus",1000021015
"48",6.083333333,116.55,"Af","tropical",454.9,"10.1111/1365-2435.12424","Dacrycarpus imbricatus",1000021015
"49",6.083333333,116.55,"Af","tropical",475.8,"10.1111/1365-2435.12424","Phyllocladus hypophyllus",1000021026
"50",6.083333333,116.55,"Af","tropical",327,"10.1111/1365-2435.12424","Phyllocladus hypophyllus",1000021026
"51",6.083333333,116.55,"Af","tropical",341.4,"10.1111/1365-2435.12424","Phyllocladus hypophyllus",1000021026
"52",6.083333333,116.55,"Af","tropical",399.1,"10.1111/1365-2435.12424","Phyllocladus hypophyllus",1000021026
"53",6.083333333,116.55,"Af","tropical",190.4,"10.1111/1365-2435.12424","Dacrydium gracile",1000021016
"54",6.083333333,116.55,"Af","tropical",310.2,"10.1111/1365-2435.12424","Dacrydium gracile",1000021016
"55",6.083333333,116.55,"Af","tropical",251.4,"10.1111/1365-2435.12424","Dacrydium gracile",1000021016
"56",6.083333333,116.55,"Af","tropical",265.2,"10.1111/1365-2435.12424","Dacrydium gracile",1000021016
"57",6.083333333,116.55,"Af","tropical",364.7,"10.1111/1365-2435.12424","Dacrydium gracile",1000021016
"58",6.083333333,116.55,"Af","tropical",342.4,"10.1111/1365-2435.12424","Tristaniopsis clementis",51031
"59",6.083333333,116.55,"Af","tropical",429.4,"10.1111/1365-2435.12424","Tristaniopsis clementis",51031
"60",6.083333333,116.55,"Af","tropical",415.1,"10.1111/1365-2435.12424","Tristaniopsis clementis",51031
"61",6.083333333,116.55,"Af","tropical",378.2,"10.1111/1365-2435.12424","Tristaniopsis clementis",51031
"62",6.083333333,116.55,"Af","tropical",169.1,"10.1111/1365-2435.12424","Payena microphylla",1000021025
"63",6.083333333,116.55,"Af","tropical",223.1,"10.1111/1365-2435.12424","Payena microphylla",1000021025
"64",6.083333333,116.55,"Af","tropical",219.2,"10.1111/1365-2435.12424","Payena microphylla",1000021025
"65",6.083333333,116.55,"Af","tropical",233.4,"10.1111/1365-2435.12424","Payena microphylla",1000021025
"66",6.083333333,116.55,"Af","tropical",255.3,"10.1111/1365-2435.12424","Lithocarpus clementianus",1000021018
"67",6.083333333,116.55,"Af","tropical",330,"10.1111/1365-2435.12424","Lithocarpus clementianus",1000021018
