"","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case","use","proposed_bety_name","reviewed","bety_name"
"78","Morisonia americana",13503,TRUE,"Morisonia americana",13503,TRUE,"iPlant_TNRS",1,"L.","http://www.tropicos.org/Name/5900370",1,"submit","Morisonia americana",TRUE,"Morisonia americana"
"79","Myriocarpa longipes",50648,TRUE,"Myriocarpa longipes",50648,TRUE,"iPlant_TNRS",1,"Liebm.","http://www.tropicos.org/Name/33400494",1,"submit","Myriocarpa longipes",TRUE,"Myriocarpa longipes"
"80","Myrospermum frutescens",17254,TRUE,"Myrospermum frutescens",17254,TRUE,"iPlant_TNRS",1,"Jacq.","http://www.tropicos.org/Name/13036060",1,"submit","Myrospermum frutescens",TRUE,"Myrospermum frutescens"
"81","Myrsine guianensis",1000009201,TRUE,"Myrsine guianensis",1000009201,TRUE,"iPlant_TNRS",1,"(Aubl.) Kuntze","http://www.tropicos.org/Name/22000930",1,"submit","Myrsine guianensis",TRUE,"Myrsine guianensis"
"82","Ochroma pyramidale",25655,TRUE,"Ochroma pyramidale",25655,TRUE,"iPlant_TNRS",1,"(Cav. ex Lam.) Urb.","http://www.tropicos.org/Name/3900204",1,"submit","Ochroma pyramidale",TRUE,"Ochroma pyramidale"
"83","Ocotea diospyrifolia",1000020870,TRUE,"Ocotea diospyrifolia",1000020870,TRUE,"iPlant_TNRS",1,"(Meisn.) Mez","http://www.tropicos.org/Name/17803863",1,"submit","Ocotea diospyrifolia",TRUE,"Ocotea diospyrifolia"
"84","Ocotea insularis",1000009467,TRUE,"Ocotea insularis",1000009467,TRUE,"iPlant_TNRS",1,"(Meisn.) Mez","http://www.tropicos.org/Name/17800241",1,"submit","Ocotea insularis",TRUE,"Ocotea insularis"
"85","Ouratea lucens",1000009869,TRUE,"Ouratea lucens",1000009869,TRUE,"iPlant_TNRS",1,"(Kunth) Engl.","http://www.tropicos.org/Name/22800107",1,"submit","Ouratea lucens",TRUE,"Ouratea lucens"
"86","Parapiptadenia rigida",1000020871,TRUE,"Parapiptadenia rigida",1000020871,TRUE,"iPlant_TNRS",1,"(Benth.) Brenan","http://www.tropicos.org/Name/13011305",1,"submit","Parapiptadenia rigida",TRUE,"Parapiptadenia rigida"
"87","Piper reticulatum",24509,TRUE,"Piper reticulatum",24509,TRUE,"iPlant_TNRS",1,"L.","http://www.tropicos.org/Name/25001139",1,"submit","Piper reticulatum",TRUE,"Piper reticulatum"
"88","Piscidia carthagenensis",25287,TRUE,"Piscidia carthagenensis",25287,TRUE,"iPlant_TNRS",1,"Jacq.","http://www.tropicos.org/Name/13031807",1,"submit","Piscidia carthagenensis",TRUE,"Piscidia carthagenensis"
"89","Pithecellobium dulce",25660,TRUE,"Pithecellobium dulce",25660,TRUE,"iPlant_TNRS",1,"(Roxb.) Benth.","http://www.tropicos.org/Name/13012638",1,"submit","Pithecellobium dulce",TRUE,"Pithecellobium dulce"
"90","Poulsenia armata",50786,TRUE,"Poulsenia armata",50786,TRUE,"iPlant_TNRS",1,"(Miq.) Standl.","http://www.tropicos.org/Name/21300623",1,"submit","Poulsenia armata",TRUE,"Poulsenia armata"
"91","Pourouma bicolor",1000011418,TRUE,"Pourouma bicolor",1000011418,TRUE,"iPlant_TNRS",1,"Mart.","http://www.tropicos.org/Name/21301041",1,"submit","Pourouma bicolor",TRUE,"Pourouma bicolor"
"92","Prioria copaifera",50795,TRUE,"Prioria copaifera",50795,TRUE,"iPlant_TNRS",1,"Griseb.","http://www.tropicos.org/Name/13044814",1,"submit","Prioria copaifera",TRUE,"Prioria copaifera"
"93","Protium panamense",1000011665,TRUE,"Protium panamense",1000011665,TRUE,"iPlant_TNRS",1,"(Rose) I.M. Johnst.","http://www.tropicos.org/Name/4700236",1,"submit","Protium panamense",TRUE,"Protium panamense"
"94","Pseudobombax septenatum",50836,TRUE,"Pseudobombax septenatum",50836,TRUE,"iPlant_TNRS",1,"(Jacq.) Dugand","http://www.tropicos.org/Name/3900261",1,"submit","Pseudobombax septenatum",TRUE,"Pseudobombax septenatum"
"95","Psidium sartorianum",1000011797,TRUE,"Psidium sartorianum",1000011797,TRUE,"iPlant_TNRS",1,"(O. Berg) Nied.","http://www.tropicos.org/Name/22102112",1,"submit","Psidium sartorianum",TRUE,"Psidium sartorianum"
"96","Qualea grandiflora",50863,TRUE,"Qualea grandiflora",50863,TRUE,"iPlant_TNRS",1,"Mart.","http://www.tropicos.org/Name/34100133",1,"submit","Qualea grandiflora",TRUE,"Qualea grandiflora"
"97","Qualea parviflora",1000012111,TRUE,"Qualea parviflora",1000012111,TRUE,"iPlant_TNRS",1,"Mart.","http://www.tropicos.org/Name/34100163",1,"submit","Qualea parviflora",TRUE,"Qualea parviflora"
"98","Rhizophora mangle",1196,TRUE,"Rhizophora mangle",1196,TRUE,"iPlant_TNRS",1,"L.","http://www.tropicos.org/Name/27600058",1,"submit","Rhizophora mangle",TRUE,"Rhizophora mangle"
"99","Schefflera macrocarpa",1000020872,TRUE,"Schefflera macrocarpa",1000020872,TRUE,"iPlant_TNRS",1,"(Cham. & Schltdl.) Frodin","http://www.tropicos.org/Name/50254555",1,"submit","Schefflera macrocarpa",TRUE,"Schefflera macrocarpa"
"100","Schefflera morototoni",51206,TRUE,"Schefflera morototoni",51206,TRUE,"iPlant_TNRS",1,"(Aubl.) Maguire, Steyerm. & Frodin","http://www.tropicos.org/Name/2200796",1,"submit","Schefflera morototoni",TRUE,"Schefflera morototoni"
"101","Semialarium mexicanum",1000020873,TRUE,"Semialarium mexicanum",1000020873,TRUE,"iPlant_TNRS",1,"(Miers) Mennega","http://www.tropicos.org/Name/15600396",1,"submit","Semialarium mexicanum",TRUE,"Semialarium mexicanum"
"102","Senna dariensis",1000013190,TRUE,"Senna dariensis",1000013190,TRUE,"iPlant_TNRS",1,"(Britton & Rose) H.S. Irwin & Barneby","http://www.tropicos.org/Name/13041308",1,"submit","Senna dariensis",TRUE,"Senna dariensis"
"103","Simarouba amara",50962,TRUE,"Simarouba amara",50962,TRUE,"iPlant_TNRS",1,"Aubl.","http://www.tropicos.org/Name/29400090",1,"submit","Simarouba amara",TRUE,"Simarouba amara"
"104","Spondias purpurea",24450,TRUE,"Spondias purpurea",24450,TRUE,"iPlant_TNRS",1,"L.","http://www.tropicos.org/Name/1300271",1,"submit","Spondias purpurea",TRUE,"Spondias purpurea"
"105","Styrax ferrugineus",1000020874,TRUE,"Styrax ferrugineus",1000020874,TRUE,"iPlant_TNRS",1,"Nees & Mart.","http://www.tropicos.org/Name/30800015",1,"submit","Styrax ferrugineus",TRUE,"Styrax ferrugineus"
"106","Styrax pohlii",1000020875,TRUE,"Styrax pohlii",1000020875,TRUE,"iPlant_TNRS",1,"A. DC.","http://www.tropicos.org/Name/30800040",1,"submit","Styrax pohlii",TRUE,"Styrax pohlii"
"107","Swietenia macrophylla",1354,TRUE,"Swietenia macrophylla",1354,TRUE,"iPlant_TNRS",1,"King","http://www.tropicos.org/Name/20400346",1,"submit","Swietenia macrophylla",TRUE,"Swietenia macrophylla"
"108","Symplocos lanceolata",1000020876,TRUE,"Symplocos lanceolata",1000020876,TRUE,"iPlant_TNRS",1,"A. DC.","http://www.tropicos.org/Name/30900096",1,"submit","Symplocos lanceolata",TRUE,"Symplocos lanceolata"
