"","studyName","lai","light","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc"
"118","SaldanaAcosta2009","","l2","","","","","","","","",NA,"",NA,"","","","","","d7,p3","","","","","","m4,x6","","","","m4","","","","","m4","","","a1,m4,x6","","","","","","","","","",""
"119","SantaRegina0000","","","","","","","","","","",NA,"",NA,"","","","","","?","","","?","","","?","","","","?","","?","","","","","","","","","","","","","","","",""
"120","SantaRegina1999","","","","","","","","","","",NA,"",NA,"","","","","","?","","","?","","","m4,x1","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
"121","Sato1971","","","","","","","","","","",NA,"",NA,"","","","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"122","Satoo1968","","","","e1,x1","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","m4,x1","","","","m4,v5","m4","m4","","","","","","","","","","","","","","","",""
"123","Satoo1974a","","","","e1,a4,x1","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx,x1","","","","mx,j","mx","mx","","","","","","","","","","","","","","","",""
"124","Satoo1974b","","","","e1,x1","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"125","Satoo1974c","","","?","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx,x1","","","","j,mx,e2","mx","mx","","","","","","","","","","","","","","","",""
"126","Satoo1974d","","","","a4,e1,x1","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx,x1","","","","mx,j,e2","mx","mx","","","mx","mx","","","","","","","","","","","",""
"127","Satoo1974e","","","?","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx,x1","","","","mx,j,v5","mx","mx","","","","","","","","","","","","","","","",""
"128","Segawa1969","","","?","e1,x1","","","","","","",NA,"",NA,"","","","","","?","?","","d1,f","","","m4,x1","","","","j,e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"129","Segawa1973","","","","x1,e1","","","","","","",NA,"",NA,"","","","","","?","?","","d3","","","m4,x1","","","","j,m4,e2","m4","m4","","","","","","","","","","","","","","","",""
"130","Selaya2010","?","l3","?","e1,a1,x1","","","","","","",NA,"",NA,"","d4","","","","?","?","","","","","m3","","","","?","","b1","","","","","x2","a1,m3,x1","?","","","","x1","","","","",""
"131","Sillett2010","","","?","e1,a1,x1,a4","","","","","","",NA,"",NA,"","?","","","","?","","","","","","m3","","","","?","m3","","","","","","","","","","","","","","","","",""
"132","Singh1980","","","","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","m3","","","","e2,m3","m3","m3","","","m3","m3","","","","","","","","","","","",""
"133","Stancioiu2005","","","","a1,a4,x1","","j","j","","","",NA,"",NA,"","","","","","c,d7,p3","c,d7,p3","","j","","","m5","","","","","","","","","","","","","","","","","","","","","",""
"134","Sterck0000","","","","?","","","","","","",NA,"",NA,"","","","?","","?","","","","","?","","","","","","","","","","","","?","?","?","","","","","","","","",""
"135","Sterck2001","","l2","","a1,x1,x7","","","","","","",NA,"",NA,"","","","","","?","?","","?","?","","","","","","","","","","","","","?","?","","","","","","","","","",""
"136","Suzuki1990","","","","e1,x1","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","m4,x1","","","","j,e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"137","Suzuki2012","","","","","","","","","","",NA,"",NA,"","","","","","","","","d3","","","mx1,m4,1","","","","j,e2,m3,m4","m3,m4","m3,m4","","","m3,m4","m3,m4","","","","","","","","","","","",""
"138","Sweda2003","","","","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","mx","mx","","","","","","","","","","","",""
"139","Tadaki1979","","","","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","mx","mx","","","","","","","","","","","",""
"140","Tadaki1995","","","?","e1","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","m4","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"141","Takagi2010","","","","","","","","","","",NA,"",NA,"","","","","","?","","","d3","?","","mx1,m4,1","","","","j,e2,m3,m4","m3,m4","m3,m4","","m3,m4","","m3,m4","","","","","","","","","","","",""
"142","Takahashi1999","","","?","a1,e1,x1","","","","","","",NA,"",NA,"","","?","?","","?","?","","d3","","","m4,x1","","","","j,e2,m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"143","Tanao1982","","","?","e1,a4","","","","","","",NA,"",NA,"","","?","","","?","?","","d3","","","m4","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"144","Tange1995","","","?","","","","","","","",NA,"",NA,"","","","","","?","","?","d3","","","m4,x1","","","","j,e2,m4","m4","m4","","","","","","","","","","","","","","","",""
