"","X","ksat","kl","P50","ax","SLA","WD","species","citation_id","site_id"
"216",216,"NA","NA","-0.71","NA","NA","NA","Aglaia glabrata",1000000133,1000026729
"217",217,"NA","NA","-0.63","43.67816092","NA","0.63","Amyxa pluricornis",1000000133,1000026728
"218",218,"NA","NA","-1.47","NA","NA","0.33","Canarium caudatum",1000000133,1000026729
"219",219,"NA","NA","-0.45","NA","NA","0.815","Cotylelobium burckii",1000000133,1000026729
"220",220,"NA","NA","-0.42","74.50980392","NA","0.54","Diospyros brachiata",1000000133,1000026728
"221",221,"NA","NA","-0.6","NA","NA","0.595","Diospyros hermaphroditica",1000000133,1000026729
"222",222,"NA","NA","-0.79","105.5555556","NA","0.65","Diospyros mindanaensis",1000000133,1000026728
"223",223,"NA","NA","-0.18","223.5294118","NA","0.7","Dipterocarpus globosus",1000000133,1000026728
"224",224,"NA","NA","-0.26","NA","NA","0.68","Dryobalanops aromatica",1000000133,1000026728
"225",225,"NA","NA","-0.26","200","NA","0.65","Dryobalanops sumatrensis",1000000133,1000026728
"226",226,"NA","NA","-0.6","NA","NA","NA","Eugenia ampullaria",1000000133,1000026729
"227",227,"NA","NA","-1.26","NA","NA","NA","Eugenia bankensis",1000000133,1000026729
"228",228,"NA","NA","-0.54","NA","NA","0.87","Eugenia muelleri",1000000133,1000026729
"229",229,"NA","NA","-1.69","43.67816092","NA","0.53","Heritiera sumatrana",1000000133,1000026728
"230",230,"NA","NA","-6.3","NA","NA","NA","Homalium moultonii",1000000133,1000026729
"231",231,"NA","NA","-0.48","NA","NA","0.93","Isonandra lanceolata",1000000133,1000026729
"232",232,"NA","NA","-0.59","70.37037037","NA","0.54","Lophopetalum subobovatum",1000000133,1000026728
"233",233,"NA","NA","-0.53","122.5806452","NA","NA","Mallotus wrayi",1000000133,1000026728
"234",234,"NA","NA","-0.76","NA","NA","0.7102","Nephelium lappaceum",1000000133,1000026729
"235",235,"NA","NA","-0.63","74.50980392","NA","0.633333333","Payena endertii",1000000133,1000026728
"236",236,"NA","NA","-0.19","165.2173913","NA","NA","Pentace adenophora",1000000133,1000026728
"237",237,"NA","NA","-0.2","92.68292683","NA","NA","Santiria mollis",1000000133,1000026728
"238",238,"NA","NA","-0.37","88.37209302","NA","0.48","Shorea faguetiana",1000000133,1000026728
"239",239,"NA","NA","-0.63","140.7407407","NA","0.426666667","Shorea mecistopteryx",1000000133,1000026728
"240",240,"NA","NA","-0.39","158.3333333","NA","0.43","Shorea ovalis",1000000133,1000026728
"241",241,"NA","NA","-0.86","NA","NA","0.51","Sindora leiocarpa",1000000133,1000026729
"242",242,"NA","NA","-0.18","NA","NA","0.61","Stemonurus umbellatus",1000000133,1000026729
"243",243,"NA","NA","-0.18","NA","NA","0.77","Xerospermum laevigatum",1000000133,1000026729
"244",244,"4.2","0.00088","-3.4","NA","5.555","0.65","Sclerolobium paniculatum",1000000134,1000025739
"245",245,"3.6","0.00083","-3.2","NA","5","0.67","Sclerolobium paniculatum",1000000134,1000025739
"246",246,"6","0.0011","-3.4","NA","5.405","0.59","Sclerolobium paniculatum",1000000134,1000025739
"247",247,"NA","NA","-3.4","NA","NA","NA","Sclerolobium paniculatum",1000000134,1000025739
"248",248,"0.74","0.00037","-2.1","NA","NA","0.56","Baccaurea ramiflora",1000000135,1000026724
"249",249,"0.74","0.00037","-2.1","NA","NA","0.56","Baccaurea ramiflora",1000000135,1000026724
"250",250,"2.07","0.000633","-1.6","NA","NA","0.51","Bauhinia variegate",1000000135,1000026724
"251",251,"2.07","0.000633","-1.6","NA","NA","0.51","Bauhinia variegate",1000000135,1000026724
"252",252,"1.64","0.000533","-2","NA","NA","0.52","Syzygium szemaoense",1000000135,1000026724
"253",253,"1.64","0.000533","-2","NA","NA","0.52","Syzygium szemaoense",1000000135,1000026724
"254",254,"3.47","0.000391","-1.9","NA","NA","0.6","Alphonsea monogyna",1000000084,1000026724
"255",255,"11.79","0.00098","-1.3","NA","NA","0.42","Bauhinia purpurea",1000000084,1000026724
"256",256,"10.58","0.001059","-1.2","NA","NA","0.44","Bauhinia variegate",1000000084,1000026724
"257",257,"7.89","0.000533","-1.2","NA","NA","0.44","Bischofia javanica",1000000084,1000026724
"258",258,"4.45","0.000371","-1.3","NA","NA","0.47","Castanopsis indica",1000000084,1000026724
"259",259,"3.45","0.000534","-2.1","NA","NA","0.62","Celtis philippensis",1000000084,1000026724
