"","Ptlp","WD","SLA","Organ","Biome","citation_id","site_id","species_id"
"144",-1.973293333,"0.88","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007250
"145",-2.79316,"0.88","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007250
"146",-2.143853333,"0.88","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007250
"147",-2.435053333,"0.7475","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007307
"148",-2.36364,"0.921363636","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007817
"149",-2.13276,"0.921363636","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007817
"150",-1.611373333,"0.786714286","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000008805
"151",-1.90604,"0.62","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000009318
"152",-1.722306667,"0.519","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000009515
"153",-1.817293333,"0.56","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000010468
"154",-1.688333333,"0.395","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000011440
"155",-1.926146667,"0.942333333","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000011467
"156",-2.19932,"0.964","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000011485
"157",-1.8998,"0.57","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000011663
"158",-1.927533333,"0.57","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000011663
"159",-2.1182,"0.57","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000011663
"160",-2.23052,"0.5575","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000011681
"161",-2.27628,"0.5575","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000011681
"162",-2.32828,"0.5575","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000011681
"163",-2.312333333,"0.5575","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000011681
"164",-2.34076,"0.685","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000011686
"165",-2.283213333,"0.685","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000011686
"166",-1.77916,"0.5796","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000012115
"167",-2.041933333,"0.8165","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000014329
"168",-1.915053333,"0.7205","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000014363
"169",-1.950413333,"0.7205","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000014363
