"","X","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case"
"104",104,"RHIZOPHORA MANGLE",1196,TRUE,"Rhizophora mangle",1196,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/40031",1
"105",105,"SCHEFFLERA MACROCARPA",NA,FALSE,"Schefflera macrocarpa",NA,FALSE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/859572",11
"106",106,"SCHEFFLERA MOROTOTONI",51206,TRUE,"Schefflera morototoni",51206,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/2200796",1
"107",107,"SCLEROLOBIUM PANICULATUM",1000013036,TRUE,"Tachigali vulgaris",NA,FALSE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/50317942",9
"108",108,"SEMIALARIUM MEXICANUM",NA,FALSE,"Semialarium mexicanum",NA,FALSE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/123477",11
"109",109,"SENNA DARIENSIS",1000013190,TRUE,"Senna dariensis",1000013190,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/346961",1
"110",110,"SIMAROUBA AMARA",50962,TRUE,"Simarouba amara",50962,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/101569",1
"111",111,"SIMAROUBA GLAUCA",13388,FALSE,"Simarouba amara",50962,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/29400090",5
"112",112,"SPONDIAS PURPUREA",24450,TRUE,"Spondias purpurea",24450,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/1300271",1
"113",113,"STYRAX FERRUGINEUS",NA,FALSE,"Styrax ferrugineus",NA,FALSE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/153532",11
"114",114,"STYRAX POHLII",NA,FALSE,"Styrax pohlii",NA,FALSE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/30800040",11
"115",115,"SWIETENIA MACROPHYLLA",1354,TRUE,"Swietenia macrophylla",1354,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/43891",1
"116",116,"SYMPLOCOS LANCEOLATA",NA,FALSE,"Symplocos lanceolata",NA,FALSE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/251584",11
"117",117,"SYMPLOCOS MOSENII",NA,FALSE,"",NA,FALSE,"iPlant_TNRS","1",NA,"",13
"118",118,"SYZYGIUM CUMINI",36558,TRUE,"Syzygium cumini",36558,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/260142",1
"119",119,"TABEBUIA ROSEA",2834,TRUE,"Tabebuia rosea",2834,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/3700648",1
"120",120,"TACHIGALIA VERSICOLOR",NA,FALSE,"",NA,FALSE,"iPlant_TNRS","1",NA,"",13
"121",121,"TACHIGALI VERSICOLOR",50999,TRUE,"Tachigali versicolor",50999,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/13001906",1
"122",122,"TAPIRIRA GUIANENSIS",1000014356,TRUE,"Tapirira guianensis",1000014356,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/1300281",1
"123",123,"TERMINALIA AMAZONIA",1000014401,TRUE,"Terminalia amazonia",1000014401,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/681497",1
"124",124,"TRATTINNICKIA ASPERA",1000014798,TRUE,"Trattinnickia aspera",1000014798,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/4700241",1
"125",125,"VIROLA SEBIFERA",25996,TRUE,"Virola sebifera",25996,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/224866",1
"126",126,"VISMIA BILLBERGIANA",1000015206,TRUE,"Vismia billbergiana",1000015206,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/681505",1
"127",127,"VOCHYSIA FERRUGINEA",1000015271,TRUE,"Vochysia ferruginea",1000015271,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/34100141",1
"128",128,"VOCHYSIA THYRSOIDEA",NA,FALSE,"Vochysia thyrsoidea",NA,FALSE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/50184812",11
"129",129,"XYLOPIA MACRANTHA",1000015453,TRUE,"Xylopia macrantha",1000015453,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/681506",1
"130",130,"ZANTHOXYLUM PANAMENSE",51088,TRUE,"Zanthoxylum panamense",51088,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/681510",1
"131",131,"ZUELANIA GUIDONIA",51093,TRUE,"Zuelania guidonia",51093,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/312408",1
