Species,Ptlp,WD,SLA,Organ,Ref,Biome,Long,Lat
astronium graveolens,-2.07,0.867692308,16.97792869,Leaf,"Olivares & Medina 1992",Tropical seasonal forest,-66.892248,10.495062
bursera simaruba,-0.69,0.305,15.31393568,Leaf,"Olivares & Medina 1992",Tropical seasonal forest,-66.892248,10.495062
sapindus saponaria,-2.14,0.71225,19.49317739,Leaf,"Olivares & Medina 1992",Tropical seasonal forest,-66.892248,10.495062
tabebuia chrysantha,-1.49,1.043333333,22.37136465,Leaf,"Olivares & Medina 1992",Tropical seasonal forest,-66.892248,10.495062
byrsonima sericea,-2.03,0.78,NaN,Leaf,"Rosado & De Mattos 2010",Tropical seasonal forest,-41.41666667,-22.2
maytenus obtusifolia,-3.08,0.75,NaN,Leaf,"Rosado & De Mattos 2010",Tropical seasonal forest,-41.41666667,-22.2
ternstroemia brasiliensis,-1.88,0.47,NaN,Leaf,"Rosado & De Mattos 2010",Tropical seasonal forest,-41.41666667,-22.2
hymenosporum flavum,-2.06,0.607,NaN,Leaf,"Scoffoni et al. 2008",Tropical rainforest,-118.446152,34.068858
bauhinia variegata,-1.93,0.653,13.12335958,Leaf,"Shrestha et al. 2008",Tropical seasonal forest,85.641074,27.61922
cupressus torulosa,-0.81,0.44,NaN,Leaf,"Singh et al. 2006",Tropical seasonal forest,79.45,29.38333333
rhododendron arboreum,-1.74,0.491,NaN,Leaf,"Singh et al. 2006",Tropical seasonal forest,79.45,29.38333333
shorea robusta,-2.04,0.73,10.23292992,Leaf,"Singh et al. 2006",Tropical seasonal forest,79.45,29.38333333
capparis verrucosa,-3.65,0.86,8.896797153,Leaf,"Sobrado 1986",Tropical seasonal forest,-67.05,10.25
morisonia americana,-4.08,0.88,6.798096533,Leaf,"Sobrado 1986",Tropical seasonal forest,-67.05,10.25
coursetia ferruginea,-2.46,0.85,26.9541779,Leaf,"Sobrado 1986; Sobrado 1993",Tropical seasonal forest,-67.05,10.25
lonchocarpus dipteroneurus,-2.32,0.6,24.06639004,Leaf,"Sobrado 1986; Sobrado 1993",Tropical seasonal forest,-67.05,10.25
mansoa verrucifera,-2.51,NaN,17.51313485,Leaf,"Sobrado 1986; Sobrado 1993",Tropical seasonal forest,-67.05,10.25
morisonia americana,-4.08,0.6,6.638217166,Leaf,"Sobrado 1986; Sobrado 1993",Tropical seasonal forest,-67.05,10.25
catostemma sancarlosianum,-1.89,0.67,NaN,Leaf,"Sobrado 2009",Tropical rainforest,-67.05,1.9
